term,form count,lemma,decl,adj,total count
πολιν,111,πολις,3rd,n,346
πολει,102,πολις,3rd,n,346
πολεως,98,πολις,3rd,n,346
πολις,23,πολις,3rd,n,346
πολεις,12,πολις,3rd,n,346
ανδρες,237,ανηρ,3rd,n,291
ανδρων,25,ανηρ,3rd,n,291
ανδρος,12,ανηρ,3rd,n,291
ανδρας,9,ανηρ,3rd,n,291
ανηρ,8,ανηρ,3rd,n,291
δικασται,170,δικαστης,1st-masc,n,170
νομους,43,νομος,2nd,n,109
νομον,28,νομος,2nd,n,109
νομοις,10,νομος,2nd,n,109
νομων,10,νομος,2nd,n,109
νομος,9,νομος,2nd,n,109
νομου,9,νομος,2nd,n,109
δικην,89,δικη,1st-fem-long,n,103
δικας,14,δικη,1st-fem-long,n,103
μαρτυρας,52,μαρτυς,3rd,n,103
Μαρτυρες,38,μαρτυς,3rd,n,103
μαρτυρων,13,μαρτυς,3rd,n,103
βουλη,73,βουλη,1st-fem-long,n,101
βουλην,17,βουλη,1st-fem-long,n,101
βουλης,11,βουλη,1st-fem-long,n,101
πατηρ,31,πατηρ,3rd,n,96
πατρος,31,πατηρ,3rd,n,96
πατερα,23,πατηρ,3rd,n,96
πατρι,11,πατηρ,3rd,n,96
χρηματα,51,χρημα,3rd,n,96
χρηματων,45,χρημα,3rd,n,96
πολιτων,66,πολιτης,1st-masc,n,94
πολιτας,18,πολιτης,1st-masc,n,94
πολιταις,10,πολιτης,1st-masc,n,94
κινδυνον,22,κινδυνος,2nd,n,76
κινδυνους,20,κινδυνος,2nd,n,76
κινδυνοις,13,κινδυνος,2nd,n,76
κινδυνου,13,κινδυνος,2nd,n,76
κινδυνος,8,κινδυνος,2nd,n,76
πληθος,34,πληθος,3rd,n,76
πληθει,31,πληθος,3rd,n,76
πληθους,11,πληθος,3rd,n,76
πραγματα,24,πραγμα,3rd,n,75
πραγματων,23,πραγμα,3rd,n,75
πραγματος,19,πραγμα,3rd,n,75
πραγμα,9,πραγμα,3rd,n,75
ανθρωπων,33,ανθρωπος,2nd,n,73
ανθρωποις,21,ανθρωπος,2nd,n,73
ανθρωπους,11,ανθρωπος,2nd,n,73
ανθρωπον,8,ανθρωπος,2nd,n,73
γνωμην,57,γνωμη,1st-fem-long,n,73
γνωμη,16,γνωμη,1st-fem-long,n,73
πρωτον,66,πρωτος,2nd,y,66
συμφορας,22,συμφορα,1st-fem-long,n,61
συμφορα,18,συμφορα,1st-fem-long,n,61
συμφοραν,11,συμφορα,1st-fem-long,n,61
συμφορων,10,συμφορα,1st-fem-long,n,61
εργων,24,εργον,2nd,n,59
εργον,22,εργον,2nd,n,59
εργοις,13,εργον,2nd,n,59
θανατον,33,θανατος,2nd,n,58
θανατου,15,θανατος,2nd,n,58
θανατος,10,θανατος,2nd,n,58
χρονον,45,χρονος,2nd,n,56
χρονου,11,χρονος,2nd,n,56
αρχης,21,αρχη,1st-fem-long,n,49
αρχην,20,αρχη,1st-fem-long,n,49
αρχας,8,αρχη,1st-fem-long,n,49
παιδας,36,παις,3rd,n,49
παιδων,13,παις,3rd,n,49
Λακεδαιμονιοις,15,Λακεδαιμονιος,2nd,y,47
Λακεδαιμονιων,14,Λακεδαιμονιος,2nd,y,47
Λακεδαιμονιους,10,Λακεδαιμονιος,2nd,y,47
Λακεδαιμονιοι,8,Λακεδαιμονιος,2nd,y,47
αργυριον,33,αργυριον,2nd,n,46
αργυριου,13,αργυριον,2nd,n,46
λογους,26,λογος,2nd,n,46
λογον,20,λογος,2nd,n,46
Πειραιει,16,Πειραιευς,3rd,n,46
Πειραια,15,Πειραιευς,3rd,n,46
Πειραιως,15,Πειραιευς,3rd,n,46
πολεμιων,31,πολεμιος,2nd,y,44
πολεμιοις,13,πολεμιος,2nd,y,44
αρετην,24,αρετη,1st-fem-long,n,42
αρετης,10,αρετη,1st-fem-long,n,42
αρετη,8,αρετη,1st-fem-long,n,42
δημον,19,δημος,2nd,n,42
δημου,13,δημος,2nd,n,42
δημος,10,δημος,2nd,n,42
σωτηριας,20,σωτηρια,1st-fem-long,n,41
σωτηριαν,13,σωτηρια,1st-fem-long,n,41
