term,count,lemma,decl,adj,parse
ανδρες,237,ανηρ,3rd,n
δικασται,170,δικαστης,1st-masc,n
πολιν,111,πολις,3rd,n
πολει,102,πολις,3rd,n
πολεως,98,πολις,3rd,n
δικην,89,δικη,1st-fem-long,n
βουλη,73,βουλη,1st-fem-long,n
πολιτων,66,πολιτης,1st-masc,n
πρωτον,66,πρωτος,2nd,y
γνωμην,57,γνωμη,1st-fem-long,n
μαρτυρας,52,μαρτυς,3rd,n
χρηματα,51,χρημα,3rd,n
χρηματων,45,χρημα,3rd,n
χρονον,45,χρονος,2nd,n
νομους,43,νομος,2nd,n
Μαρτυρες,38,μαρτυς,3rd,n
παιδας,36,παις,3rd,n
πληθος,34,πληθος,3rd,n
ανθρωπων,33,ανθρωπος,2nd,n
αργυριον,33,αργυριον,2nd,n
θανατον,33,θανατος,2nd,n
πατηρ,31,πατηρ,3rd,n
πατρος,31,πατηρ,3rd,n
πληθει,31,πληθος,3rd,n
πολεμιων,31,πολεμιος,2nd,y
ταλαντα,30,ταλας,3rd,n
εχθρων,29,εχθρος,2nd,y
μνας,29,μνα,1st-fem-long,n
νομον,28,νομος,2nd,n
λογους,26,λογος,2nd,n
ανδρων,25,ανηρ,3rd,n
βιον,25,βιος,2nd,n
αρετην,24,αρετη,1st-fem-long,n
εργων,24,εργον,2nd,n
ολιγαρχια,24,ολιγαρχια,1st-fem-long,n
πολιτειας,24,πολιτεια,1st-fem-long,n
πραγματα,24,πραγμα,3rd,n
πατερα,23,πατηρ,3rd,n
πολις,23,πολις,3rd,n
πραγματων,23,πραγμα,3rd,n
εργον,22,εργον,2nd,n
κινδυνον,22,κινδυνος,2nd,n
ναυς,22,ναυς,3rd,n
συγγνωμην,22,συγγνωμη,1st-fem-long,n
συμφορας,22,συμφορα,1st-fem-long,n
ανθρωποις,21,ανθρωπος,2nd,n
αρχης,21,αρχη,1st-fem-long,n
δημοκρατια,21,δημοκρατια,1st-fem-long,n
δραχμας,21,δραχμη,1st-fem-long,n
ελευθεριας,21,ελευθερια,1st-fem-long,n
οικιαν,21,οικια,1st-fem-long,n
αρχην,20,αρχη,1st-fem-long,n
κινδυνους,20,κινδυνος,2nd,n
λογον,20,λογος,2nd,n
πατριδος,20,πατρις,3rd,n
σωτηριας,20,σωτηρια,1st-fem-long,n
αιτιαν,19,αιτια,1st-fem-long,n
δημον,19,δημος,2nd,n
ουσιαν,19,ουσια,1st-fem-long,n
πραγματος,19,πραγμα,3rd,n
πολιτας,18,πολιτης,1st-masc,n
συμφορα,18,συμφορα,1st-fem-long,n
αμαρτηματα,17,αμαρτημα,3rd,n
βια,17,βια,1st-fem-long,n
βουλην,17,βουλη,1st-fem-long,n
ονοματα,17,ονομα,3rd,n
Πειραιει,16,Πειραιευς,3rd,n
αγωνα,16,αγων,3rd,n
αστει,16,αστυ,3rd,n
γνωμη,16,γνωμη,1st-fem-long,n
γυναικα,16,γυνη,3rd,n
θεους,16,θεος,2nd,n
πατριδα,16,πατρις,3rd,n
προγονων,16,προγονος,2nd,y
ψηφον,16,ψηφος,2nd,n
Λακεδαιμονιοις,15,Λακεδαιμονιος,2nd,y
Πειραια,15,Πειραιευς,3rd,n
Πειραιως,15,Πειραιευς,3rd,n
αναγκη,15,αναγκη,1st-fem-long,n
θανατου,15,θανατος,2nd,n
θεων,15,θεος,2nd,n
τειχη,15,τειχος,3rd,n
τεκμηριον,15,τεκμηριον,2nd,n
